FIELD,ID,RA_y,DEC_y,z_50_y,HeII-4687_FLUX,HeII-4687_FLUX_ERR,NeV-3426_FLUX,NeV-3426_FLUX_ERR,Ha_FLUX_y,Ha_FLUX_ERR_y,Hb_FLUX_y,Hb_FLUX_ERR_y,NeIII-3867_FLUX_y,NeIII-3867_FLUX_ERR_y,OII_FLUX_y,OII_FLUX_ERR_y,OIII_FLUX_y,OIII_FLUX_ERR_y,DL,NeV_L_ERR,NeV_L,HeII_L_ERR,HeII_L,id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,restUjohnson,restVjohnson
GN1,37738,189.28118519999998,62.363287629000006,1.450627992173246,-99.0,-99.0,13.177380172855301,1.30712833935438,45.4352189874349,1.0331382397518,8.09268879458132,0.9520669908288469,4.522834028297661,0.6577779748535449,21.9916567805464,0.7587287322395171,75.56912385467898,1.32558026574065,10676.99332347836,1.7828245343986406e+41,1.797295335427302e+42,-1.3502853820202728e+43,-1.3502853820202728e+43,37738,189.28118997,62.36328306,177.5,177.5,3.4930000000000003,1.63539,0,0.11801400000000001,0.025741000000000003,0.5,2.59124,4.060569999999999,-22.123335,-23.163199,1.45224,-1.0,2,1.5271,11.07,106.046,1.56586,160.959,-1.5662,,
GN1,37767,189.29601256,62.362755877,1.5181166536901984,3.3313491700449402,0.4567347843981791,1.52612311748945,0.454641884376928,-99.0,-99.0,3.23187438067096,0.432024655900504,0.496807568757852,0.264843339006064,1.4025668478091398,0.298862627937649,5.513787345590671,0.490556847205907,11296.190166871618,6.941061016439012e+40,2.329946720947112e+41,6.973013520702272e+40,5.0860025551835916e+41,37767,189.29602421,62.36274835,7.22404,4.795,0.9279,0.8233280000000001,0,0.12738,0.029608299999999997,0.2,0.22573000000000001,0.27626999999999996,-18.893320000000003,-19.329368,1.6203,-1.0,3,1.6203,9.08,7.22404,0.334908,-22.5509,-1.4866,,
GN2,19913,189.14832276,62.24000089900001,2.010370267224622,10.254366703106099,1.23824467766201,14.7211905615392,1.91158469086823,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.1428069575365605,5.294912673647071,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176465,5.837718029717117e+41,4.495650125810866e+42,3.7814297815419446e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.8249400000000002,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,
GN7,19913,189.14832276,62.24000089900001,2.010370267224622,10.254366703106099,1.23824467766201,14.7211905615392,1.91158469086823,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.1428069575365605,5.294912673647071,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176465,5.837718029717117e+41,4.495650125810866e+42,3.7814297815419446e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.8249400000000002,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,
GN2,18197,189.21988615,62.23178554000002,1.359751093923414,-99.0,-99.0,5.981806417646738,3.1346239285722,88.81606725134078,0.8732872338070979,11.5928796836098,1.68814044867371,6.64622043156399,1.5035985958905198,55.7858724295688,1.28122550834748,111.936710680061,1.86604756846455,9853.326515758772,3.6411923591728785e+41,6.9484915314570636e+41,-1.1499881701034245e+43,-1.1499881701034245e+43,18197,189.21989591,62.23179425,72.7503,72.7503,0.2,0.164945,2,0.326946,0.050888199999999995,0.3,3.19725,4.13406,-21.841556,-22.224012,1.355,1.355,1,1.3416,9.94,103.295,5.20975,54.7798,-1.4982,,
GN2,11502,189.26094304,62.199198750999976,1.991615710773547,0.214003337434769,0.94263514705962,1.9815715081947696,1.42781070132196,-99.0,-99.0,2.5362712639972798,0.881124717455418,3.0873851278813795,1.3445401313762502,7.6265246055769085,1.04177224436376,11.795138603283403,1.04602175981831,15793.44818323183,4.2610534459748536e+41,5.91365654818338e+41,2.8131311370313727e+41,6.386558509347663e+40,11502,189.26094297,62.19919674,15.3729,16.49,1.8393,0.09827810000000001,0,0.255228,0.00649476,0.2,0.69838,0.77228,-20.756107,-21.008899,1.986,1.986,1,1.9626,9.49,15.3729,1.13715,-24.8012,-1.6751,,
GN2,20177,189.16946393,62.241354916000006,1.393534841633599,3.86817118594586,0.39333955205428495,11.5053981785291,1.81559830775368,-99.0,-99.0,7.0232388242024895,0.564119557996561,1.73293227146337,1.25120325138523,3.4323226224798904,0.8768578147076608,8.657331076061519,0.5505861344077541,10158.123301863105,2.2415021442961492e+41,1.4204339461001962e+42,4.85609314351587e+40,4.7755684562901336e+41,20177,53.220026399999995,-27.8174011,0.08922730000000001,0.08794,1.8947,1.4248100000000001,1,0.6917399999999999,0.307053,0.2,0.0384302,0.097398,,,0.7888,-1.0,3,0.7888,7.64,0.08922730000000001,0.00377758,-2.95951,-2.1108,-15.957566,-16.528747
GN2,19911,189.22022547,62.239819602,1.878074665165565,-99.0,-99.0,0.5043166554994251,0.45601091075907396,-99.0,-99.0,1.37071593173995,0.6277031465337011,0.6279077388643101,0.41637015805330796,2.6724962195857005,0.370614561503885,15.597166169396699,0.7007904886718729,14693.107606150026,1.1778635476977885e+41,1.302635947944401e+41,-2.5571425698559496e+43,-2.5571425698559496e+43,19911,189.22024247,62.23981674,4.13738,4.004,1.52,0.981555,0,0.157194,0.0339217,0.0,0.31764000000000003,0.32108000000000003,-19.257808999999998,-19.668701000000002,1.5072,-1.0,3,1.5072,9.04,4.13738,0.19933599999999999,-21.3269,-1.9691,,
GN2,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,
GN2,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387
GN2,25303,189.2010320900087,62.26568191699707,2.442471517146416,-99.0,-99.0,4.277868160824,0.7764313176283439,-99.0,-99.0,3.2944996015259,0.8325251117418869,2.35048977978143,0.747349512677743,10.2446055895701,0.6253691024170721,28.565377351062605,4.61015863361637,20274.253306909282,3.818433312544236e+41,2.103824758364744e+42,-4.868748714265921e+43,-4.868748714265921e+43,25303,189.20104105,62.26567832,73.5854,73.5854,0.9511,0.167445,0,0.139566,0.00657208,0.3,0.7393,1.23805,-21.800454000000002,-22.241044,2.44,2.44,1,2.4211,9.9,93.8996,4.65236,53.593,-1.5807,,
GN2,25303,189.2010320900087,62.26568191699707,2.442471517146416,-99.0,-99.0,4.277868160824,0.7764313176283439,-99.0,-99.0,3.2944996015259,0.8325251117418869,2.35048977978143,0.747349512677743,10.2446055895701,0.6253691024170721,28.565377351062605,4.61015863361637,20274.253306909282,3.818433312544236e+41,2.103824758364744e+42,-4.868748714265921e+43,-4.868748714265921e+43,25303,53.1480072,-27.7921602,0.141403,0.1388,1.9289,1.02966,2,0.146172,0.055968899999999995,0.0,0.0240549,0.016736400000000002,,,1.0185,-1.0,3,1.0185,6.04,0.141403,0.00372704,-20.1367,-2.3779,-16.356148,-16.49119
GN2,25004,189.1923747801479,62.264346371011406,1.4008227149513692,-99.0,-99.0,11.1044012408149,2.75767091481223,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10224.095409667629,3.4489321844024106e+41,1.3887924995783009e+42,-1.2381618285990717e+43,-1.2381618285990717e+43,25004,189.192374,62.26434467,25.9595,32.12,2.628,1.73891,0,0.158676,0.0473166,0.0,1.08752,1.3211700000000002,-21.419825,-21.758793,2.046,2.046,1,1.4736,9.53,25.9595,2.4784599999999997,-27.0801,-1.6508,,
GN2,25004,189.1923747801479,62.264346371011406,1.4008227149513692,-99.0,-99.0,11.1044012408149,2.75767091481223,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10224.095409667629,3.4489321844024106e+41,1.3887924995783009e+42,-1.2381618285990717e+43,-1.2381618285990717e+43,25004,53.171783700000006,-27.793657899999996,0.0939482,0.09518,1.0366,0.11101400000000002,0,0.160956,0.00786616,0.0,0.07162,0.15420699999999998,,,0.7903,-1.0,3,0.7903,8.05,0.0939482,0.00386256,-2.21081,-2.0528,-16.141854000000002,-16.694932
GN2,19235,189.13854002,62.23644663100001,1.43080775818793,17.5356641496124,6.23463086844641,10.391536101930999,4.5466831254284905,-99.0,-99.0,11.6815008592099,4.03625907523494,-99.0,-99.0,6.81840775667204,18.573176381645897,-99.0,-99.0,10496.337678506523,5.993254289101516e+41,1.369770370953262e+42,8.218238914496534e+41,2.3114805117852524e+42,19235,189.13854439,62.23644449,10.8916,15.2,1.3894,0.132358,0,0.196104,0.00717835,0.0,0.9491,1.2456399999999999,-20.559438,-20.98358,1.3448,1.3448,1,1.3166,9.52,10.8916,1.5281,-16.5569,-1.4669,,
GN7,19235,189.13854002,62.23644663100001,1.43080775818793,17.5356641496124,6.23463086844641,10.391536101930999,4.5466831254284905,-99.0,-99.0,11.6815008592099,4.03625907523494,-99.0,-99.0,6.81840775667204,18.573176381645897,-99.0,-99.0,10496.337678506523,5.993254289101516e+41,1.369770370953262e+42,8.218238914496534e+41,2.3114805117852524e+42,19235,189.13854439,62.23644449,10.8916,15.2,1.3894,0.132358,0,0.196104,0.00717835,0.0,0.9491,1.2456399999999999,-20.559438,-20.98358,1.3448,1.3448,1,1.3166,9.52,10.8916,1.5281,-16.5569,-1.4669,,
GN3,35084,189.24489199,62.32566672400001,1.5638968520213368,-99.0,-99.0,0.9705096475229721,0.9028957213843032,4.7707130112024805,1.72794298386897,1.24064422021768,0.9486067584599268,1.2673563182846599,0.631021225177024,3.83183505643757,0.682064884518082,10.200835344007801,1.02456893729554,11719.658262140409,1.4837472273686125e+41,1.5948585916864588e+41,-1.626887491329365e+43,-1.626887491329365e+43,35084,189.24489301,62.32566729999999,9.820110000000001,6.899,1.2416,0.250879,0,0.21917399999999998,0.0148506,0.0,0.37764000000000003,0.47228000000000003,-19.882918,-20.431487,1.56639,-1.0,2,1.5486,9.26,9.820110000000001,0.38310500000000003,-22.4595,-1.5984,,
GN3,26652,189.26198636,62.27244137899999,1.8648644134262833,-99.0,-99.0,1.30591852009084,0.580670057920214,-99.0,-99.0,2.33325775684244,0.6848222791574189,1.68075028769757,0.444295010781684,6.0621776645532695,0.5188255305341211,14.494453742455699,0.7288146496373621,14565.911908525632,1.473999104711256e+41,3.315002561582464e+41,-2.5130607196981574e+43,-2.5130607196981574e+43,26652,189.26198336,62.27243953,11.0126,10.32,1.1948,0.0615677,0,0.301614,0.00613013,0.0,0.6597,0.7013,-20.489297,-20.812866,1.8619999999999999,1.8619999999999999,1,1.5581,9.51,11.0126,0.323191,-20.8852,-1.8519999999999999,,
GN3,26652,189.26198636,62.27244137899999,1.8648644134262833,-99.0,-99.0,1.30591852009084,0.580670057920214,-99.0,-99.0,2.33325775684244,0.6848222791574189,1.68075028769757,0.444295010781684,6.0621776645532695,0.5188255305341211,14.494453742455699,0.7288146496373621,14565.911908525632,1.473999104711256e+41,3.315002561582464e+41,-2.5130607196981574e+43,-2.5130607196981574e+43,26652,53.080705,-27.787842200000004,1.68523,3.4610000000000003,2.6939,0.09810369999999999,0,0.130674,0.00202102,0.1,0.148394,0.636323,,,1.12442,-1.0,2,1.1218,10.26,1.68523,0.165388,-7.95405,-0.9817,-19.173897,-20.700806
GN4,26652,189.26198636,62.27244137899999,1.8648644134262833,-99.0,-99.0,1.30591852009084,0.580670057920214,-99.0,-99.0,2.33325775684244,0.6848222791574189,1.68075028769757,0.444295010781684,6.0621776645532695,0.5188255305341211,14.494453742455699,0.7288146496373621,14565.911908525632,1.473999104711256e+41,3.315002561582464e+41,-2.5130607196981574e+43,-2.5130607196981574e+43,26652,189.26198336,62.27243953,11.0126,10.32,1.1948,0.0615677,0,0.301614,0.00613013,0.0,0.6597,0.7013,-20.489297,-20.812866,1.8619999999999999,1.8619999999999999,1,1.5581,9.51,11.0126,0.323191,-20.8852,-1.8519999999999999,,
GN4,26652,189.26198636,62.27244137899999,1.8648644134262833,-99.0,-99.0,1.30591852009084,0.580670057920214,-99.0,-99.0,2.33325775684244,0.6848222791574189,1.68075028769757,0.444295010781684,6.0621776645532695,0.5188255305341211,14.494453742455699,0.7288146496373621,14565.911908525632,1.473999104711256e+41,3.315002561582464e+41,-2.5130607196981574e+43,-2.5130607196981574e+43,26652,53.080705,-27.787842200000004,1.68523,3.4610000000000003,2.6939,0.09810369999999999,0,0.130674,0.00202102,0.1,0.148394,0.636323,,,1.12442,-1.0,2,1.1218,10.26,1.68523,0.165388,-7.95405,-0.9817,-19.173897,-20.700806
